Code,Shortname,Name
"LH","lufthansa","Lufthansa German Airlines"
"KL","klm","KLM Royal Dutch Airlines"
"LX","swissair","Swiss International Airlines"
"SK","sas","Scandinavian Airlines Sys."
"AC","aircanada","Air Canada"
"CA","airchina","Air China"
"AA","americanairlines","American Airlines Inc."
"BA","britishairways","British Airways Plc"
"MU","chinaeastern","China Eastern Airlines"
"DL","delta","Delta Air Lines Inc."
"MS","egyptair","Egyptair"
"EK","emirates","Emirates"
"EW","eurowings","Eurowings"
"QR","qatar","Qatar Airways (Q.C.S.C)"
"FR","ryanair","Ryanair"
"TK","turkish","Turkish Airlines"
"UA","united","United Air Lines Inc."
"1I","","Sky Trek International Airlines"
"AI","","National Aviation Company of India Limited d/b/a Air India"
"AS","","Alaska Airlines Inc."
"AT","","Royal Air Maroc"
"AY","","Finnair Oy"
"BC","","Skymark Airlines Inc."
"BG","","Biman Bangladesh Airlines"
"CZ","","China Southern Airlines"
"DY","","Norwegian Air Shuttle ASA"
"FI","","Icelandic Air"
"FJ","","Air Pacific Ltd."
"GF","","Gulf Air Company"
"JD","","Japan Air System Co. Ltd."
"KE","","Korean Air Lines Co. Ltd."
"KM","","Air Malta"
"KU","","Kuwait Airways Corp."
"LY","","El Al Israel Airlines Ltd."
"NZ","","Air New Zealand"
"PS","","Ukraine International Airlines"
"SS","","Corsair International"
"SV","","Saudi Arabian Airlines Corp"
"VX","","Virgin America"
